feature value,n_samples,precision,recall,fbeta
 Wife,285,0.9354838709677419,0.9354838709677419,0.9354838709677419
 Other-relative,190,1.0,0.9482758620689655,0.9734513274336283
feature value,n_samples,precision,recall,fbeta
 White,5548,0.9648162627052385,0.9257314328582146,0.9448698315467076
 Asian-Pac-Islander,207,1.0,0.9523809523809523,0.975609756097561
 Black,629,0.9617834394904459,0.9263803680981595,0.94375
 Other,57,0.9230769230769231,0.8,0.8571428571428571
 Amer-Indian-Eskimo,72,1.0,0.8666666666666667,0.9285714285714286
feature value,n_samples,precision,recall,fbeta
 Female,2103,0.9602385685884692,0.930635838150289,0.9452054794520548
 Male,4410,0.9679679679679679,0.9218303145853194,0.9443359375
feature value,n_samples,precision,recall,fbeta
 United-States,5877,0.9681952662721893,0.9237826393789696,0.945467677862044
 Mexico,125,0.9736842105263158,0.925,0.9487179487179489
 India,28,1.0,1.0,1.0
 Portugal,9,1.0,1.0,1.0
 Canada,27,1.0,0.875,0.9333333333333333
 Iran,10,1.0,1.0,1.0
 Germany,27,0.8333333333333334,1.0,0.9090909090909091
 El-Salvador,18,1.0,1.0,1.0
 Philippines,40,1.0,0.8888888888888888,0.9411764705882353
 Columbia,8,1.0,1.0,1.0
 France,7,1.0,1.0,1.0
 Greece,8,1.0,1.0,1.0
 Guatemala,11,1.0,1.0,1.0
 China,22,1.0,1.0,1.0
 Dominican-Republic,14,1.0,0.75,0.8571428571428571
 Jamaica,10,1.0,1.0,1.0
 Japan,10,1.0,1.0,1.0
 ?,91,0.9545454545454546,0.9130434782608695,0.9333333333333332
 Italy,13,1.0,1.0,1.0
 South,14,1.0,1.0,1.0
 Poland,15,0.6666666666666666,1.0,0.8
 Vietnam,11,1.0,1.0,1.0
 Haiti,9,1.0,1.0,1.0
 Peru,7,1.0,0.75,0.8571428571428571
 Cuba,19,0.6,1.0,0.7499999999999999
 England,8,0.5,1.0,0.6666666666666666
 Hong,4,0.0,0.0,0.0
 Nicaragua,8,1.0,1.0,1.0
 Puerto-Rico,24,0.75,1.0,0.8571428571428571
 Outlying-US(Guam-USVI-etc),4,1.0,1.0,1.0
 Laos,3,1.0,1.0,1.0
 Ecuador,3,1.0,1.0,1.0
 Thailand,4,1.0,1.0,1.0
 Ireland,5,1.0,1.0,1.0
 Taiwan,6,0.0,0.0,0.0
 Trinadad&Tobago,4,0.0,0.0,0.0
 Cambodia,4,0.0,0.0,0.0
 Yugoslavia,3,0.0,0.0,0.0
 Scotland,2,1.0,1.0,1.0
 Hungary,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4500,0.9631067961165048,0.9176688251618872,0.9398389388915205
 Never-worked,1,0.0,0.0,0.0
 Self-emp-inc,238,0.9642857142857143,0.9818181818181818,0.972972972972973
 Local-gov,395,0.9690721649484536,0.9591836734693877,0.964102564102564
 Self-emp-not-inc,541,0.9745762711864406,0.9349593495934959,0.954356846473029
 ?,373,0.9545454545454546,0.9230769230769231,0.9385474860335197
 State-gov,273,0.9705882352941176,0.9041095890410958,0.9361702127659575
 Federal-gov,189,1.0,0.9565217391304348,0.9777777777777777
 Without-pay,3,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Bachelors,1104,0.9731800766283525,0.9236363636363636,0.9477611940298507
 HS-grad,2101,0.96579476861167,0.9302325581395349,0.947680157946693
 Some-college,1435,0.9525316455696202,0.9204892966360856,0.9362363919129082
 9th,88,1.0,0.9047619047619048,0.9500000000000001
 Prof-school,136,1.0,0.8571428571428571,0.923076923076923
 Masters,339,0.9404761904761905,0.9634146341463414,0.9518072289156626
 5th-6th,69,1.0,1.0,1.0
 12th,85,0.9615384615384616,0.8928571428571429,0.9259259259259259
 Assoc-acdm,212,0.9803921568627451,0.8928571428571429,0.9345794392523364
 11th,251,1.0,0.9538461538461539,0.9763779527559054
 Assoc-voc,253,1.0,0.9310344827586207,0.9642857142857143
 7th-8th,131,1.0,0.896551724137931,0.9454545454545454
 Doctorate,86,0.8823529411764706,1.0,0.9375
 1st-4th,34,1.0,1.0,1.0
 10th,183,0.8974358974358975,0.8333333333333334,0.8641975308641975
 Preschool,6,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Widowed,202,0.9361702127659575,0.9361702127659575,0.9361702127659575
 Never-married,2157,0.9686847599164927,0.9080234833659491,0.9373737373737374
 Married-civ-spouse,2981,0.9640804597701149,0.9306518723994452,0.9470712773465066
 Divorced,876,0.9705882352941176,0.9383886255924171,0.9542168674698795
 Separated,207,0.9583333333333334,0.9787234042553191,0.968421052631579
 Married-spouse-absent,85,0.9629629629629629,0.896551724137931,0.9285714285714286
 Married-AF-spouse,5,1.0,0.5,0.6666666666666666
feature value,n_samples,precision,recall,fbeta
 Prof-specialty,866,0.9651741293532339,0.9282296650717703,0.9463414634146342
 Transport-moving,339,0.9552238805970149,0.927536231884058,0.9411764705882353
 Adm-clerical,726,0.9664804469273743,0.9402173913043478,0.953168044077135
 ?,374,0.9545454545454546,0.9230769230769231,0.9385474860335197
 Sales,734,0.9447852760736196,0.9221556886227545,0.9333333333333335
 Craft-repair,791,0.9842105263157894,0.935,0.9589743589743589
 Other-service,666,0.9602649006622517,0.9119496855345912,0.935483870967742
 Machine-op-inspct,384,0.9888888888888889,0.898989898989899,0.9417989417989419
 Exec-managerial,812,0.9726775956284153,0.967391304347826,0.9700272479564033
 Tech-support,190,0.95,0.8260869565217391,0.8837209302325583
 Handlers-cleaners,266,0.9821428571428571,0.9482758620689655,0.9649122807017544
 Farming-fishing,200,0.9433962264150944,0.847457627118644,0.8928571428571428
 Protective-serv,134,0.9375,0.9090909090909091,0.923076923076923
 Priv-house-serv,31,1.0,0.9,0.9473684210526316
feature value,n_samples,precision,recall,fbeta
 Unmarried,667,0.9714285714285714,0.9714285714285714,0.9714285714285714
 Own-child,1031,0.96875,0.8930041152263375,0.9293361884368309
 Not-in-family,1682,0.9625668449197861,0.9137055837563451,0.9375
 Husband,2664,0.9643435980551054,0.926791277258567,0.9451945988880064
 Other-relative,186,0.9743589743589743,0.926829268292683,0.9500000000000001
 Wife,283,0.958904109589041,0.958904109589041,0.958904109589041
feature value,n_samples,precision,recall,fbeta
 White,5550,0.9677165354330709,0.9275471698113208,0.9472061657032755
 Black,638,0.9545454545454546,0.9130434782608695,0.9333333333333332
 Asian-Pac-Islander,205,0.9655172413793104,0.9180327868852459,0.9411764705882353
 Other,50,0.875,1.0,0.9333333333333333
 Amer-Indian-Eskimo,70,0.9166666666666666,0.7857142857142857,0.8461538461538461
feature value,n_samples,precision,recall,fbeta
 Female,2111,0.960552268244576,0.9437984496124031,0.9521016617790811
 Male,4402,0.9678391959798995,0.9153992395437263,0.9408891060087935
feature value,n_samples,precision,recall,fbeta
 Poland,17,0.8571428571428571,1.0,0.923076923076923
 United-States,5847,0.9655430711610486,0.923352435530086,0.9439765653606738
 Mexico,117,1.0,0.9310344827586207,0.9642857142857143
 Haiti,4,1.0,1.0,1.0
 ?,107,1.0,0.896551724137931,0.9454545454545454
 England,19,1.0,0.8,0.888888888888889
 Laos,4,0.0,0.0,0.0
 India,18,1.0,1.0,1.0
 Ireland,6,1.0,1.0,1.0
 South,15,1.0,1.0,1.0
 Jamaica,19,0.8571428571428571,1.0,0.923076923076923
 Greece,4,0.0,0.0,0.0
 Canada,18,1.0,1.0,1.0
 Germany,27,1.0,1.0,1.0
 Iran,10,1.0,1.0,1.0
 El-Salvador,20,0.75,1.0,0.8571428571428571
 Philippines,31,0.7142857142857143,0.7142857142857143,0.7142857142857143
 Vietnam,13,1.0,1.0,1.0
 China,20,1.0,1.0,1.0
 Guatemala,17,1.0,1.0,1.0
 Italy,21,1.0,0.8,0.888888888888889
 Holand-Netherlands,1,0.0,0.0,0.0
 Columbia,14,1.0,1.0,1.0
 Taiwan,15,1.0,1.0,1.0
 Thailand,5,1.0,1.0,1.0
 Portugal,8,1.0,1.0,1.0
 Japan,16,1.0,1.0,1.0
 Dominican-Republic,17,0.75,1.0,0.8571428571428571
 Cuba,18,1.0,1.0,1.0
 Scotland,4,1.0,1.0,1.0
 Honduras,3,0.0,0.0,0.0
 France,4,1.0,1.0,1.0
 Peru,5,1.0,0.5,0.6666666666666666
 Ecuador,4,0.0,0.0,0.0
 Trinadad&Tobago,3,1.0,1.0,1.0
 Cambodia,2,0.0,0.0,0.0
 Puerto-Rico,19,1.0,1.0,1.0
 Hungary,3,0.0,0.0,0.0
 Nicaragua,8,0.0,0.0,0.0
 Hong,2,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Yugoslavia,6,1.0,1.0,1.0
